id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,umpire1,umpire2,result_margin_zscore
392229,2009,19,2009-05-17,League,Yuvraj Singh,34,1,6,1,field,6,runs,1.0,135.0,20.0,N,S Ravi,RB Tiffin,-0.7353102766378233
392230,2009,4,2009-05-17,League,AB de Villiers,36,3,13,3,bat,3,runs,14.0,151.0,20.0,N,SS Hazare,IL Howell,-0.13636648012034702
392231,2009,6,2009-05-18,League,BJ Hodge,53,0,8,0,bat,8,wickets,7.0,189.0,20.0,N,SJA Taufel,RB Tiffin,-0.458874678245142
392232,2009,19,2009-05-19,League,JH Kallis,34,16,3,3,bat,17,wickets,7.0,135.0,20.0,N,IL Howell,RB Tiffin,-0.458874678245142
392233,2009,13,2009-05-20,League,LR Shukla,22,8,13,8,field,8,wickets,4.0,102.0,20.0,N,BG Jerling,SJA Taufel,-0.5970924774414826
392234,2009,13,2009-05-20,League,M Muralitharan,22,0,6,0,bat,0,runs,24.0,117.0,20.0,N,BG Jerling,SJA Taufel,0.32435951720078865
392235,2009,6,2009-05-21,League,V Sehwag,53,3,10,3,field,3,wickets,4.0,166.0,20.0,N,IL Howell,S Ravi,-0.5970924774414826
392236,2009,6,2009-05-21,League,MK Pandey,53,16,1,16,bat,17,runs,12.0,171.0,20.0,N,IL Howell,S Ravi,-0.22851167958457416
392237,2009,6,2009-05-22,Semi Final,AC Gilchrist,53,3,1,1,field,1,wickets,6.0,154.0,20.0,N,BR Doctrove,DJ Harper,-0.5049472779772556
392238,2009,19,2009-05-23,Semi Final,MK Pandey,34,16,0,16,field,17,wickets,6.0,147.0,20.0,N,RE Koertzen,SJA Taufel,-0.5049472779772556
392239,2009,19,2009-05-24,Final,A Kumble,34,16,1,16,field,1,runs,6.0,144.0,20.0,N,RE Koertzen,SJA Taufel,-0.5049472779772556
419106,2009/10,26,2010-03-12,League,AD Mathews,9,1,8,1,field,8,runs,11.0,162.0,20.0,N,RE Koertzen,RB Tiffin,-0.2745842793166877
419107,2009/10,26,2010-03-13,League,YK Pathan,5,10,13,10,bat,10,runs,4.0,213.0,20.0,N,RE Koertzen,RB Tiffin,-0.5970924774414826
419108,2009/10,7,2010-03-13,League,G Gambhir,40,6,3,3,field,3,wickets,5.0,143.0,20.0,N,BR Doctrove,S Ravi,-0.5510198777093691
419109,2009/10,23,2010-03-14,League,MK Tiwary,14,8,16,8,field,8,wickets,7.0,136.0,20.0,N,HDPK Dharmasena,AM Saheba,-0.458874678245142
419110,2009/10,8,2010-03-14,League,WPUJC Vaas,27,0,1,1,bat,1,runs,31.0,191.0,20.0,N,K Hariharan,DJ Harper,0.6468677153255836
419111,2009/10,1,2010-03-15,League,V Sehwag,44,13,3,3,field,3,wickets,6.0,142.0,20.0,N,BG Jerling,RE Koertzen,-0.5049472779772556
419112,2009/10,2,2010-03-16,League,JH Kallis,23,16,6,6,bat,17,wickets,8.0,204.0,20.0,N,S Das,DJ Harper,-0.4128020785130284
419113,2009/10,23,2010-03-16,League,MS Dhoni,14,8,0,0,bat,0,runs,55.0,165.0,20.0,N,HDPK Dharmasena,AM Saheba,1.752610108896309
419114,2009/10,10,2010-03-17,League,SR Tendulkar,16,3,10,3,field,10,runs,98.0,219.0,20.0,N,BR Doctrove,SK Tarapore,3.7337318973771922
419115,2009/10,2,2010-03-18,League,JH Kallis,23,16,13,16,field,17,wickets,10.0,93.0,20.0,N,K Hariharan,DJ Harper,-0.3206568790488013
419116,2009/10,10,2010-03-19,League,ML Hayden,16,3,0,3,bat,0,wickets,5.0,186.0,20.0,N,BR Doctrove,SK Tarapore,-0.5510198777093691
419117,2009/10,9,2010-03-19,League,A Symonds,2,1,6,6,field,1,runs,6.0,171.0,20.0,N,BF Bowden,M Erasmus,-0.5049472779772556
419118,2009/10,1,2010-03-20,League,AA Jhunjhunwala,44,13,8,13,bat,14,runs,34.0,169.0,20.0,N,RE Koertzen,RB Tiffin,0.7850855145219243
419119,2009/10,26,2010-03-20,League,JH Kallis,5,10,16,10,bat,17,wickets,7.0,152.0,20.0,N,HDPK Dharmasena,SS Hazare,-0.458874678245142
419120,2009/10,9,2010-03-21,League,A Symonds,2,1,3,1,bat,1,runs,10.0,172.0,20.0,N,BF Bowden,M Erasmus,-0.3206568790488013
419121,2009/10,8,2010-03-21,League,J Theron,27,0,6,0,field,6,tie,0.0,137.0,20.0,Y,K Hariharan,DJ Harper,-0.781382876369937
419122,2009/10,26,2010-03-22,League,SR Tendulkar,5,10,8,8,bat,10,wickets,7.0,156.0,20.0,N,SS Hazare,SJA Taufel,-0.458874678245142
419123,2009/10,2,2010-03-23,League,RV Uthappa,23,16,0,0,field,17,runs,36.0,172.0,20.0,N,RE Koertzen,RB Tiffin,0.8772307139861514
419124,2009/10,7,2010-03-24,League,AC Voges,40,6,13,6,field,14,runs,31.0,184.0,20.0,N,BR Doctrove,SK Tarapore,0.6468677153255836
419125,2009/10,26,2010-03-25,League,SR Tendulkar,6,0,10,10,field,10,wickets,5.0,181.0,20.0,N,AM Saheba,BF Bowden,-0.5510198777093691
419128,2009/10,2,2010-03-25,League,KM Jadhav,23,16,3,16,field,3,runs,17.0,184.0,20.0,N,BG Jerling,RE Koertzen,0.0018513190759936718
419126,2009/10,1,2010-03-26,League,YK Pathan,44,13,1,1,bat,14,wickets,8.0,149.0,20.0,N,HDPK Dharmasena,SJA Taufel,-0.4128020785130284
419127,2009/10,7,2010-03-27,League,MK Tiwary,40,6,8,8,bat,8,runs,39.0,184.0,20.0,N,BR Doctrove,S Ravi,1.0154485131824922
419129,2009/10,1,2010-03-28,League,NV Ojha,44,13,0,13,bat,14,runs,17.0,178.0,20.0,N,SS Hazare,SJA Taufel,0.0018513190759936718
419130,2009/10,26,2010-03-28,League,Harbhajan Singh,9,1,10,1,field,10,runs,41.0,173.0,20.0,N,S Das,K Hariharan,1.1075937126467192
419131,2009/10,10,2010-03-29,League,DA Warner,16,3,8,3,bat,3,runs,40.0,178.0,20.0,N,SS Hazare,SJA Taufel,1.0615211129146056
419132,2009/10,26,2010-03-30,League,SL Malinga,5,10,6,10,field,10,wickets,4.0,164.0,20.0,N,BR Doctrove,SK Tarapore,-0.5970924774414826
419133,2009/10,8,2010-03-31,League,M Vijay,27,0,16,16,bat,0,wickets,5.0,162.0,20.0,N,BG Jerling,RE Koertzen,-0.5510198777093691
419134,2009/10,10,2010-03-31,League,KD Karthik,16,3,13,3,bat,3,runs,67.0,189.0,20.0,N,HDPK Dharmasena,SJA Taufel,2.305481305681672
419135,2009/10,23,2010-04-01,League,SC Ganguly,14,8,1,8,bat,8,runs,24.0,182.0,20.0,N,K Hariharan,DJ Harper,0.32435951720078865
419136,2009/10,7,2010-04-02,League,KP Pietersen,40,6,16,6,bat,17,wickets,6.0,182.0,20.0,N,BF Bowden,M Erasmus,-0.5049472779772556
419137,2009/10,8,2010-04-03,League,M Vijay,27,0,13,0,bat,0,runs,23.0,247.0,20.0,N,RE Koertzen,RB Tiffin,0.27828691746867507
419138,2009/10,26,2010-04-03,League,AT Rayudu,5,10,1,10,bat,10,runs,63.0,179.0,20.0,N,BR Doctrove,S Ravi,2.1211909067532173
419139,2009/10,23,2010-04-04,League,DPMD Jayawardene,14,8,6,8,bat,6,wickets,8.0,201.0,20.0,N,S Asnani,DJ Harper,-0.4128020785130284
419140,2009/10,10,2010-04-04,League,PD Collingwood,16,3,16,3,bat,3,runs,37.0,185.0,20.0,N,BF Bowden,M Erasmus,0.923303313718265
419141,2009/10,27,2010-04-05,League,SK Warne,54,1,13,13,bat,14,runs,2.0,160.0,20.0,N,HDPK Dharmasena,SJA Taufel,-0.6892376769057098
419142,2009/10,8,2010-04-06,League,SK Raina,27,0,10,0,bat,0,runs,24.0,166.0,20.0,N,S Asnani,DJ Harper,0.32435951720078865
419143,2009/10,18,2010-04-07,League,MJ Lumb,46,13,6,6,bat,14,wickets,9.0,154.0,20.0,N,S Ravi,SK Tarapore,-0.36672947878091483
419144,2009/10,23,2010-04-07,League,SC Ganguly,14,8,3,8,bat,8,runs,14.0,182.0,20.0,N,BG Jerling,RE Koertzen,-0.13636648012034702
419145,2009/10,2,2010-04-08,League,TL Suman,23,16,1,1,field,1,wickets,7.0,185.0,20.0,N,S Asnani,DJ Harper,-0.458874678245142
419146,2009/10,7,2010-04-09,League,KC Sangakkara,40,6,10,10,bat,6,wickets,6.0,155.0,20.0,N,M Erasmus,AM Saheba,-0.5049472779772556
419147,2009/10,27,2010-04-10,League,RJ Harris,54,1,0,0,bat,1,wickets,6.0,139.0,20.0,N,HDPK Dharmasena,SJA Taufel,-0.5049472779772556
419148,2009/10,2,2010-04-10,League,R Vinay Kumar,23,16,8,16,field,17,wickets,7.0,161.0,20.0,N,K Hariharan,DJ Harper,-0.458874678245142
419149,2009/10,10,2010-04-11,League,PP Chawla,16,3,6,3,bat,6,wickets,7.0,112.0,20.0,N,BF Bowden,AM Saheba,-0.458874678245142
419150,2009/10,18,2010-04-11,League,SR Tendulkar,46,13,10,13,field,10,runs,37.0,175.0,20.0,N,BR Doctrove,SK Tarapore,0.923303313718265
419151,2009/10,27,2010-04-12,League,Harmeet Singh,54,1,16,16,field,1,runs,13.0,152.0,20.0,N,RE Koertzen,RB Tiffin,-0.18243907985246058
419152,2009/10,26,2010-04-13,League,KA Pollard,5,10,3,10,bat,10,runs,39.0,184.0,20.0,N,S Asnani,DJ Harper,1.0154485131824922
419153,2009/10,8,2010-04-13,League,R Ashwin,27,0,8,8,bat,0,wickets,9.0,140.0,20.0,N,SS Hazare,SJA Taufel,-0.36672947878091483
419154,2009/10,18,2010-04-14,League,KP Pietersen,46,13,16,13,bat,17,wickets,5.0,131.0,20.0,N,BR Doctrove,S Ravi,-0.5510198777093691
419155,2009/10,8,2010-04-15,League,G Gambhir,27,0,3,0,bat,3,wickets,6.0,113.0,20.0,N,HDPK Dharmasena,SS Hazare,-0.5049472779772556
419156,2009/10,11,2010-04-16,League,RG Sharma,18,6,1,1,field,1,wickets,5.0,175.0,20.0,N,M Erasmus,AM Saheba,-0.5510198777093691
419157,2009/10,2,2010-04-17,League,R McLaren,23,16,10,16,field,10,runs,57.0,192.0,20.0,N,HDPK Dharmasena,SJA Taufel,1.8447553083605361
419158,2009/10,23,2010-04-17,League,JD Unadkat,14,8,13,13,bat,8,wickets,8.0,133.0,20.0,N,BG Jerling,RB Tiffin,-0.4128020785130284
419159,2009/10,11,2010-04-18,League,MS Dhoni,18,6,0,0,field,0,wickets,6.0,193.0,20.0,N,BF Bowden,AM Saheba,-0.5049472779772556
